game_id,round_id,team1_score,team2_score,team1_round_score,team2_round_score,seat_position,is_dealer,partner_is_dealer,trump_suit,trump_maker,suit_lead,card_to_evaluate,win_probability,card_to_play_encoded,is_trump_card,hand_card_0,hand_card_1,hand_card_2,hand_card_3,hand_card_4,known_card_0,known_card_1,known_card_2,known_card_3,known_card_4,known_card_5,known_card_6,known_card_7,known_card_8,known_card_9,known_card_10,known_card_11,known_card_12,known_card_13,known_card_14,known_card_15,known_card_16,known_card_17
0,2,0,0,1,0,0,0,1,3,2,4,14,0.24,1,1,15,13,94,14,-1,52,80,24,120,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0,3,0,0,2,0,0,0,1,3,2,4,15,0.08,1,0,15,13,94,-1,-1,52,80,24,120,82,29,121,49,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0,3,0,0,2,0,0,0,1,3,2,4,13,0.04,0,1,15,13,94,-1,-1,52,80,24,120,82,29,121,49,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0,3,0,0,2,0,0,0,1,3,2,4,94,0.16,0,0,15,13,94,-1,-1,52,80,24,120,82,29,121,49,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0,4,1,0,3,0,2,0,1,3,2,2,13,0.0,1,1,13,94,-1,-1,-1,52,80,24,120,82,29,121,49,83,31,113,47,-1,-1,-1,-1,-1,-1
0,4,1,0,3,0,2,0,1,3,2,2,94,0.0,0,0,13,94,-1,-1,-1,52,80,24,120,82,29,121,49,83,31,113,47,-1,-1,-1,-1,-1,-1
0,5,1,0,4,0,0,0,1,3,2,4,94,0.0,1,0,94,-1,-1,-1,-1,52,80,24,120,82,29,121,49,83,31,113,47,116,65,81,27,-1,-1
0,1,2,4,0,0,0,0,0,3,0,4,3,0.4,0,0,3,11,8,17,13,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0,1,2,4,0,0,0,0,0,3,0,4,11,0.4,1,0,3,11,8,17,13,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0,1,2,4,0,0,0,0,0,3,0,4,8,0.48,0,0,3,11,8,17,13,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0,1,2,4,0,0,0,0,0,3,0,4,17,0.36,0,1,3,11,8,17,13,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0,1,2,4,0,0,0,0,0,3,0,4,13,0.56,0,1,3,11,8,17,13,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0,2,0,0,0,1,1,0,0,3,0,0,3,0.32,0,0,3,8,17,13,-1,79,35,103,65,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0,2,0,0,0,1,1,0,0,3,0,0,8,0.48,0,0,3,8,17,13,-1,79,35,103,65,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0,2,0,0,0,1,1,0,0,3,0,0,17,0.08,0,1,3,8,17,13,-1,79,35,103,65,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0,2,0,0,0,1,1,0,0,3,0,0,13,0.24,1,1,3,8,17,13,-1,79,35,103,65,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0,3,0,0,1,1,0,0,0,3,0,4,3,0.04,0,0,3,8,17,-1,-1,79,35,103,65,50,81,30,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0,3,0,0,1,1,0,0,0,3,0,4,8,0.12,1,0,3,8,17,-1,-1,79,35,103,65,50,81,30,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0,3,0,0,1,1,0,0,0,3,0,4,17,0.0,0,1,3,8,17,-1,-1,79,35,103,65,50,81,30,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0,4,0,0,2,1,2,0,0,3,0,1,3,0.0,1,0,3,17,-1,-1,-1,79,35,103,65,50,81,30,100,76,32,101,46,-1,-1,-1,-1,-1,-1
