game_id,round_id,team1_score,team2_score,team1_round_score,team2_round_score,seat_position,is_dealer,partner_is_dealer,trump_suit,hand,known_cards,card_to_evaluate,card_to_play,win_probability
43,2,0,0,0,1,3,False,True,hearts,"['J of clubs', '10 of hearts', '9 of diamonds', 'A of diamonds']","['Q of clubs', 'A of hearts', '9 of hearts', 'J of hearts', 'K of hearts']",J of clubs,1,1.0
43,2,0,0,0,1,3,False,True,hearts,"['J of clubs', '10 of hearts', '9 of diamonds', 'A of diamonds']","['Q of clubs', 'A of hearts', '9 of hearts', 'J of hearts', 'K of hearts']",10 of hearts,0,1.0
43,2,0,0,0,1,3,False,True,hearts,"['J of clubs', '10 of hearts', '9 of diamonds', 'A of diamonds']","['Q of clubs', 'A of hearts', '9 of hearts', 'J of hearts', 'K of hearts']",9 of diamonds,0,0.0
43,2,0,0,0,1,3,False,True,hearts,"['J of clubs', '10 of hearts', '9 of diamonds', 'A of diamonds']","['Q of clubs', 'A of hearts', '9 of hearts', 'J of hearts', 'K of hearts']",A of diamonds,0,1.0
43,3,0,0,0,2,3,False,True,hearts,"['10 of hearts', '9 of diamonds', 'A of diamonds']","['Q of clubs', 'A of hearts', '9 of hearts', 'J of hearts', 'K of hearts', 'A of clubs', '9 of clubs', '10 of spades', 'J of clubs']",10 of hearts,0,0.0
43,3,0,0,0,2,3,False,True,hearts,"['10 of hearts', '9 of diamonds', 'A of diamonds']","['Q of clubs', 'A of hearts', '9 of hearts', 'J of hearts', 'K of hearts', 'A of clubs', '9 of clubs', '10 of spades', 'J of clubs']",9 of diamonds,1,0.0
43,3,0,0,0,2,3,False,True,hearts,"['10 of hearts', '9 of diamonds', 'A of diamonds']","['Q of clubs', 'A of hearts', '9 of hearts', 'J of hearts', 'K of hearts', 'A of clubs', '9 of clubs', '10 of spades', 'J of clubs']",A of diamonds,0,0.0
43,4,0,0,1,2,2,False,True,hearts,"['10 of hearts', 'A of diamonds']","['Q of clubs', 'A of hearts', '9 of hearts', 'J of hearts', 'K of hearts', 'A of clubs', '9 of clubs', '10 of spades', 'J of clubs', '10 of clubs', 'J of diamonds', '10 of diamonds', '9 of diamonds']",10 of hearts,0,0.0
43,4,0,0,1,2,2,False,True,hearts,"['10 of hearts', 'A of diamonds']","['Q of clubs', 'A of hearts', '9 of hearts', 'J of hearts', 'K of hearts', 'A of clubs', '9 of clubs', '10 of spades', 'J of clubs', '10 of clubs', 'J of diamonds', '10 of diamonds', '9 of diamonds']",A of diamonds,1,0.0
43,5,0,2,1,3,1,False,True,hearts,['10 of hearts'],"['Q of clubs', 'A of hearts', '9 of hearts', 'J of hearts', 'K of hearts', 'A of clubs', '9 of clubs', '10 of spades', 'J of clubs', '10 of clubs', 'J of diamonds', '10 of diamonds', '9 of diamonds', 'Q of diamonds', 'Q of hearts', 'A of diamonds', 'K of diamonds']",10 of hearts,1,0.0
43,1,2,7,0,0,0,False,False,hearts,"['Q of spades', 'A of diamonds', '10 of hearts', '9 of hearts', '10 of diamonds']",['9 of spades'],Q of spades,0,0.0
43,1,2,7,0,0,0,False,False,hearts,"['Q of spades', 'A of diamonds', '10 of hearts', '9 of hearts', '10 of diamonds']",['9 of spades'],A of diamonds,1,0.0
43,1,2,7,0,0,0,False,False,hearts,"['Q of spades', 'A of diamonds', '10 of hearts', '9 of hearts', '10 of diamonds']",['9 of spades'],10 of hearts,0,0.0
43,1,2,7,0,0,0,False,False,hearts,"['Q of spades', 'A of diamonds', '10 of hearts', '9 of hearts', '10 of diamonds']",['9 of spades'],9 of hearts,0,0.0
